iter	Passed	Remaining
627	2511	1487
628	2515	1483
629	2518	1479
630	2522	1475
631	2526	1470
632	2531	1467
633	2535	1463
634	2540	1460
635	2545	1456
636	2549	1453
637	2553	1448
638	2557	1445
639	2562	1441
640	2566	1437
641	2570	1433
642	2574	1429
643	2578	1425
644	2581	1420
645	2584	1416
646	2588	1412
647	2591	1407
648	2595	1403
649	2598	1399
650	2603	1395
651	2606	1391
652	2610	1386
653	2613	1382
654	2616	1378
655	2620	1374
656	2623	1369
657	2627	1365
658	2631	1361
659	2635	1357
660	2638	1353
661	2642	1349
662	2646	1345
663	2649	1340
664	2652	1336
665	2656	1332
666	2659	1327
667	2663	1323
668	2667	1319
669	2670	1315
670	2673	1310
671	2676	1306
672	2680	1302
673	2683	1298
674	2687	1293
675	2691	1290
676	2697	1286
677	2701	1282
678	2705	1279
679	2709	1275
680	2712	1270
681	2716	1266
682	2721	1262
683	2724	1258
684	2728	1254
685	2731	1250
686	2735	1246
687	2739	1242
688	2743	1238
689	2747	1234
690	2752	1230
691	2757	1227
692	2761	1223
693	2766	1219
694	2771	1216
695	2775	1212
696	2781	1209
697	2788	1206
698	2792	1202
699	2796	1198
700	2801	1194
701	2804	1190
702	2809	1186
703	2813	1183
704	2817	1178
705	2821	1174
706	2825	1170
707	2829	1167
708	2833	1162
709	2836	1158
710	2840	1154
711	2844	1150
712	2848	1146
713	2853	1142
714	2860	1140
715	2864	1136
716	2868	1132
717	2873	1128
718	2876	1124
719	2880	1120
720	2884	1116
721	2887	1111
722	2891	1107
723	2894	1103
724	2900	1100
725	2908	1097
726	2912	1093
727	2916	1089
728	2920	1085
729	2925	1081
730	2929	1077
731	2932	1073
732	2937	1069
733	2940	1065
734	2943	1061
735	2947	1057
736	2951	1053
737	2955	1049
738	2959	1045
739	2963	1041
740	2967	1037
741	2970	1033
742	2974	1028
743	2978	1024
744	2982	1020
745	2986	1016
746	2989	1012
747	2993	1008
748	2996	1004
749	3000	1000
750	3003	995
751	3006	991
752	3009	987
753	3012	982
754	3018	979
755	3022	975
756	3027	971
757	3030	967
758	3034	963
759	3039	959
760	3043	955
761	3046	951
762	3049	947
763	3053	943
764	3056	938
765	3059	934
766	3062	930
767	3065	926
768	3068	921
769	3071	917
770	3074	913
771	3077	909
772	3081	904
773	3084	900
774	3087	896
775	3091	892
776	3094	888
777	3097	883
778	3100	879
779	3103	875
780	3106	871
781	3109	866
782	3112	862
783	3115	858
784	3118	854
785	3121	849
786	3124	845
787	3129	841
788	3132	837
789	3135	833
790	3139	829
791	3142	825
792	3145	821
793	3148	816
794	3151	812
795	3155	808
796	3158	804
797	3161	800
798	3164	796
799	3168	792
800	3172	788
801	3175	783
802	3179	780
803	3183	776
804	3187	772
805	3191	768
806	3195	764
807	3199	760
808	3202	756
809	3205	751
810	3208	747
811	3212	743
812	3216	739
813	3219	735
814	3222	731
815	3226	727
816	3229	723
817	3232	719
818	3235	715
819	3238	710
820	3241	706
821	3245	702
822	3248	698
823	3251	694
824	3255	690
825	3258	686
826	3261	682
827	3265	678
828	3268	674
829	3272	670
830	3275	666
831	3278	661
832	3281	657
833	3285	653
834	3288	649
835	3291	645
836	3294	641
837	3298	637
838	3301	633
839	3304	629
840	3307	625
841	3310	621
842	3314	617
843	3317	613
844	3321	609
845	3324	605
846	3328	601
847	3331	597
848	3334	593
849	3337	588
850	3340	584
851	3344	581
852	3347	576
853	3350	572
854	3353	568
855	3358	564
856	3361	560
857	3365	556
858	3368	552
859	3371	548
860	3375	544
861	3379	541
862	3382	537
863	3386	533
864	3390	529
865	3395	525
866	3399	521
867	3403	517
868	3407	513
869	3412	509
870	3416	505
871	3419	502
872	3423	498
873	3426	494
874	3430	490
875	3433	486
876	3437	482
877	3441	478
878	3445	474
879	3448	470
880	3452	466
881	3455	462
882	3458	458
883	3461	454
884	3464	450
885	3467	446
886	3471	442
887	3474	438
888	3477	434
889	3480	430
890	3484	426
891	3487	422
892	3490	418
893	3493	414
894	3496	410
895	3499	406
896	3503	402
897	3506	398
898	3510	394
899	3514	390
900	3517	386
901	3521	382
902	3525	378
903	3529	374
904	3533	370
905	3536	366
906	3539	362
907	3543	358
908	3546	354
909	3549	351
910	3552	347
911	3555	343
912	3558	339
913	3562	335
914	3565	331
915	3568	327
916	3571	323
917	3574	319
918	3578	315
919	3581	311
920	3584	307
921	3588	303
922	3591	299
923	3594	295
924	3598	291
925	3602	287
926	3606	284
927	3610	280
928	3613	276
929	3617	272
930	3620	268
931	3624	264
932	3627	260
933	3630	256
934	3633	252
935	3636	248
936	3639	244
937	3643	240
938	3646	236
939	3649	232
940	3652	229
941	3655	225
942	3659	221
943	3662	217
944	3665	213
945	3669	209
946	3672	205
947	3675	201
948	3678	197
949	3682	193
950	3685	189
951	3689	186
952	3693	182
953	3698	178
954	3702	174
955	3705	170
956	3708	166
957	3711	162
958	3714	158
959	3718	154
960	3721	151
961	3725	147
962	3728	143
963	3732	139
964	3735	135
965	3738	131
966	3741	127
967	3744	123
968	3747	119
969	3750	115
970	3753	112
971	3756	108
972	3759	104
973	3762	100
974	3765	96
975	3768	92
976	3771	88
977	3774	84
978	3777	81
979	3780	77
980	3783	73
981	3787	69
982	3790	65
983	3794	61
984	3797	57
985	3800	53
986	3804	50
987	3807	46
988	3810	42
989	3813	38
990	3816	34
991	3820	30
992	3823	26
993	3826	23
994	3830	19
995	3834	15
996	3837	11
997	3842	7
998	3847	3
999	3850	0
